network_id,target_station,donor_station,gap_length,realized_mae,n_placements
chmi_sazava,0-203-1-155800,0-203-1-167200,90,1.5584276473931051,20
chmi_sazava,0-203-1-158000,0-203-1-154900,90,1.5231755094588182,20
chmi_sazava,0-203-1-158000,0-203-1-155000,90,1.4929648477390585,20
chmi_sazava,0-203-1-158000,0-203-1-155800,90,1.4523746173619445,20
chmi_sazava,0-203-1-158000,0-203-1-159000,90,1.4823687155098002,20
chmi_sazava,0-203-1-158000,0-203-1-161000,90,1.5069604124734708,20
chmi_sazava,0-203-1-158000,0-203-1-165000,90,1.5356391806320946,20
chmi_sazava,0-203-1-158000,0-203-1-167200,90,1.5010485417626624,20
chmi_sazava,0-203-1-159000,0-203-1-154900,90,1.5616960864163463,20
chmi_sazava,0-203-1-159000,0-203-1-155000,90,1.3959549998236451,20
chmi_sazava,0-203-1-159000,0-203-1-155800,90,1.3311794087471205,20
chmi_sazava,0-203-1-159000,0-203-1-158000,90,1.5078928507500209,20
chmi_sazava,0-203-1-159000,0-203-1-161000,90,1.526842951534723,20
chmi_sazava,0-203-1-159000,0-203-1-165000,90,1.6106268268279784,20
chmi_sazava,0-203-1-159000,0-203-1-167200,90,1.5353968087327765,20
chmi_sazava,0-203-1-161000,0-203-1-154900,90,1.4324263251173166,20
chmi_sazava,0-203-1-161000,0-203-1-155000,90,1.367923269541768,20
chmi_sazava,0-203-1-161000,0-203-1-155800,90,1.3353103469985168,20
chmi_sazava,0-203-1-161000,0-203-1-158000,90,1.305686335749837,20
chmi_sazava,0-203-1-161000,0-203-1-159000,90,1.2975396815606621,20
chmi_sazava,0-203-1-161000,0-203-1-165000,90,1.4507203959316717,20
chmi_sazava,0-203-1-161000,0-203-1-167200,90,1.3310017785519987,20
chmi_sazava,0-203-1-165000,0-203-1-154900,90,1.6196668288111375,20
chmi_sazava,0-203-1-165000,0-203-1-155000,90,1.6072363954428703,20
chmi_sazava,0-203-1-165000,0-203-1-155800,90,1.5940011291183793,20
chmi_sazava,0-203-1-165000,0-203-1-158000,90,1.5957027913599846,20
chmi_sazava,0-203-1-165000,0-203-1-159000,90,1.5953670349751223,20
chmi_sazava,0-203-1-165000,0-203-1-161000,90,1.6157315766029694,20
chmi_sazava,0-203-1-165000,0-203-1-167200,90,1.5918913051481762,20
chmi_sazava,0-203-1-167200,0-203-1-154900,90,1.7007085608985926,20
chmi_sazava,0-203-1-167200,0-203-1-155000,90,1.6338288929250144,20
chmi_sazava,0-203-1-167200,0-203-1-155800,90,1.5357797204717927,20
chmi_sazava,0-203-1-167200,0-203-1-158000,90,1.5966690417978562,20
chmi_sazava,0-203-1-167200,0-203-1-159000,90,1.607449099227787,20
chmi_sazava,0-203-1-167200,0-203-1-161000,90,1.615015604014944,20
chmi_sazava,0-203-1-167200,0-203-1-165000,90,1.7096621747131562,20
chmi_vltava,0-203-1-108100,0-203-1-109000,90,1.914320368413274,20
chmi_vltava,0-203-1-108100,0-203-1-111000,90,1.9195482717337398,20
chmi_vltava,0-203-1-108100,0-203-1-115100,90,1.8892168577646093,20
chmi_vltava,0-203-1-108100,0-203-1-200100,90,1.9977153076471617,20
chmi_vltava,0-203-1-108100,0-203-1-203000,90,1.9394432031846764,20
chmi_vltava,0-203-1-109000,0-203-1-108100,90,1.3176002789165546,20
chmi_vltava,0-203-1-109000,0-203-1-111000,90,1.2806681526195203,20
chmi_vltava,0-203-1-109000,0-203-1-115100,90,1.2876053199720863,20
chmi_vltava,0-203-1-109000,0-203-1-200100,90,1.380242451198761,20
chmi_vltava,0-203-1-109000,0-203-1-203000,90,1.3573388812612788,20
chmi_vltava,0-203-1-111000,0-203-1-108100,90,1.9525489946604946,20
chmi_vltava,0-203-1-111000,0-203-1-109000,90,1.9023537455587725,20
chmi_vltava,0-203-1-111000,0-203-1-115100,90,1.0224045953530982,20
chmi_vltava,0-203-1-111000,0-203-1-200100,90,1.9428027071375644,20
chmi_vltava,0-203-1-111000,0-203-1-203000,90,1.9152411447396491,20
chmi_vltava,0-203-1-115100,0-203-1-108100,90,1.8798818062533074,20
chmi_vltava,0-203-1-115100,0-203-1-109000,90,1.8632987346659662,20
chmi_vltava,0-203-1-115100,0-203-1-111000,90,1.17160181610125,20
chmi_vltava,0-203-1-115100,0-203-1-200100,90,1.890165597456607,20
chmi_vltava,0-203-1-115100,0-203-1-203000,90,1.851206990776522,20
chmi_vltava,0-203-1-200100,0-203-1-108100,90,1.3424984630655545,20
chmi_vltava,0-203-1-200100,0-203-1-109000,90,1.343372737145968,20
chmi_vltava,0-203-1-200100,0-203-1-111000,90,1.302951130583283,20
chmi_vltava,0-203-1-200100,0-203-1-115100,90,1.306558273861428,20
chmi_vltava,0-203-1-200100,0-203-1-203000,90,1.2616751177328158,20
chmi_vltava,0-203-1-203000,0-203-1-108100,90,1.522990046229928,20
chmi_vltava,0-203-1-203000,0-203-1-109000,90,1.5290578180410834,20
chmi_vltava,0-203-1-203000,0-203-1-111000,90,1.4877215395441343,20
chmi_vltava,0-203-1-203000,0-203-1-115100,90,1.4810665589898309,20
chmi_vltava,0-203-1-203000,0-203-1-200100,90,1.5026864456160915,20
chmi_zelivka,0-203-1-161400,0-203-1-161700,90,0.8596723949479197,20
chmi_zelivka,0-203-1-161400,0-203-1-162000,90,1.5758671684265564,20
