network_id,metric,mean_err_recon,mean_err_missing,mean_risk_transfer,mean_risk_fit_loss,n_units
huc8_05030103,phase_doy,4.541206541246369,6.217033573359296,1.1337371618302516,1.1273866242845056,27
huc8_17090004,phase_doy,0.24695620323887685,0.610336456698936,0.5038219289142538,0.5062130296936812,21
lubw_neckar,phase_doy,5.849055535312977,6.964633536100492,0.8050079117613473,0.8023990503136653,30
lubw_rhein,phase_doy,2.4565328482217024,6.002623431724558,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,phase_doy,4.420146593523005,6.188751980411935,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,phase_doy,5.955692188880153,6.862954328381336,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,phase_doy,1.65016822289422,3.8018218600069864,0.7158304596878785,0.6972036171980872,12
arso_bistrica,p90,0.08799869410196938,0.2713333333333325,0.8293074078138849,0.8247428703027575,12
arso_sava,p90,0.018130814870198526,0.2998333333333329,0.5583270150263552,0.5484621201347973,24
arso_savinja,p90,0.03036348114013682,0.23719999999999977,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,p90,0.025447051210756657,0.17281481481481495,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,p90,0.11950199559529637,0.5081333333333331,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,p90,0.06279199812147335,0.19511111111111085,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,p90,0.03738724390665666,0.10716666666666648,0.645712284387243,0.6401389329111766,12
huc8_02040101,p90,0.22477330462137868,0.6177777777777782,0.7386696255652326,0.7359569277729102,18
huc8_05030103,p90,0.4657491881759081,0.9792222222222224,1.1337371618302516,1.1273866242845056,27
huc8_17090004,p90,0.05049408685593383,0.2650476190476188,0.5038219289142538,0.5062130296936812,21
lubw_neckar,p90,0.2436997581481931,0.687466666666666,0.8050079117613473,0.8023990503136653,30
lubw_rhein,p90,0.3461674931844078,1.0326666666666666,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,p90,0.1071713714599605,0.2763052453018737,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,p90,0.4053784441630048,0.8501333333333333,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,p90,0.20320087242126464,0.5701666666666664,0.7158304596878785,0.6972036171980872,12
arso_bistrica,summer_max,0.014491475423177094,0.013333333333333345,0.8293074078138849,0.8247428703027575,12
arso_sava,summer_max,0.049613183339436824,0.056666666666666664,0.5583270150263552,0.5484621201347973,24
arso_savinja,summer_max,0.019496673583984384,0.02133333333333331,0.3711990213389876,0.3717231647458657,15
