source_station,target_station,variable,lag_days,lag_definition,period,raw_correlation,raw_n_pairs,anomaly_correlation,anomaly_n_pairs
B1,S2,L,-17,positive=source_leads_target,train,0.853961586387226,3635,0.49707455884521984,3635
B1,S2,L,-16,positive=source_leads_target,train,0.861595844011607,3636,0.5117390628795672,3636
B1,S2,L,-15,positive=source_leads_target,train,0.868835627417474,3637,0.5235525946103412,3637
B1,S2,L,-14,positive=source_leads_target,train,0.8758778569171901,3638,0.5335522931779713,3638
B1,S2,L,-13,positive=source_leads_target,train,0.8829371462897218,3639,0.5446420692053093,3639
B1,S2,L,-12,positive=source_leads_target,train,0.8900554002852387,3640,0.5567913961707138,3640
B1,S2,L,-11,positive=source_leads_target,train,0.8970998993312637,3641,0.568218849155624,3641
B1,S2,L,-10,positive=source_leads_target,train,0.9039822852861684,3642,0.5819716640085024,3642
B1,S2,L,-9,positive=source_leads_target,train,0.9106934688904155,3643,0.5976923154086974,3643
B1,S2,L,-8,positive=source_leads_target,train,0.917420970061425,3644,0.6177939382084523,3644
B1,S2,L,-7,positive=source_leads_target,train,0.9244314804522548,3645,0.6417520152226954,3645
B1,S2,L,-6,positive=source_leads_target,train,0.9319529090689488,3646,0.6695525650777916,3646
B1,S2,L,-5,positive=source_leads_target,train,0.9401071405211565,3647,0.7026797123450896,3647
B1,S2,L,-4,positive=source_leads_target,train,0.9488007810479214,3648,0.7410598323662813,3648
B1,S2,L,-3,positive=source_leads_target,train,0.9577591957434572,3649,0.7827792921677009,3649
B1,S2,L,-2,positive=source_leads_target,train,0.9668741345766161,3650,0.8268589869817136,3650
B1,S2,L,-1,positive=source_leads_target,train,0.9760674921693588,3651,0.874623536675994,3651
B1,S2,L,0,positive=source_leads_target,train,0.9844760885061941,3652,0.9199668708389992,3652
B1,S2,L,1,positive=source_leads_target,train,0.9899786570072562,3651,0.9489511269667632,3651
B1,S2,L,2,positive=source_leads_target,train,0.9897564498887831,3650,0.9413530626695542,3650
B1,S2,L,3,positive=source_leads_target,train,0.9845315713991611,3649,0.9036784493835834,3649
B1,S2,L,4,positive=source_leads_target,train,0.9769670071149824,3648,0.8544208537710472,3648
B1,S2,L,5,positive=source_leads_target,train,0.9686689433627776,3647,0.8054195725001123,3647
B1,S2,L,6,positive=source_leads_target,train,0.9603122596057073,3646,0.7603928019552204,3646
B1,S2,L,7,positive=source_leads_target,train,0.9522211415717385,3645,0.7185229896557599,3645
B1,S2,L,8,positive=source_leads_target,train,0.9446202587365191,3644,0.6820525072798861,3644
B1,S2,L,9,positive=source_leads_target,train,0.937549469815077,3643,0.6494882166309129,3643
B1,S2,L,10,positive=source_leads_target,train,0.9307250839419942,3642,0.6213863988925535,3642
B1,S2,L,11,positive=source_leads_target,train,0.9238504927725738,3641,0.5958042561132803,3641
B1,S2,L,12,positive=source_leads_target,train,0.916981131341779,3640,0.574498533224931,3640
B1,S2,L,13,positive=source_leads_target,train,0.9101177825805907,3639,0.5546315976826526,3639
B1,S2,L,14,positive=source_leads_target,train,0.903335232584468,3638,0.5368460927241201,3638
B1,S2,L,15,positive=source_leads_target,train,0.8968594355679991,3637,0.5217286019740548,3637
B1,S2,L,16,positive=source_leads_target,train,0.8907298234115757,3636,0.5083824906733847,3636
B1,S2,L,17,positive=source_leads_target,train,0.8846963616972157,3635,0.4965800845353106,3635
B1,S2,L,18,positive=source_leads_target,train,0.8784017314533472,3634,0.48440984796067105,3634
B1,S2,L,19,positive=source_leads_target,train,0.8715592251676071,3633,0.4708466327773532,3633
B1,S2,L,20,positive=source_leads_target,train,0.8642035838488669,3632,0.45654231172039733,3632
B1,S2,L,21,positive=source_leads_target,train,0.8563590942193023,3631,0.443437405878509,3631
B1,S2,L,22,positive=source_leads_target,train,0.8480511807889067,3630,0.42957888339716344,3630
B1,S2,L,23,positive=source_leads_target,train,0.83926722808506,3629,0.4144551076293569,3629
B1,S2,L,24,positive=source_leads_target,train,0.8302107216160822,3628,0.3970701167183954,3628
B1,S2,L,25,positive=source_leads_target,train,0.8211177749916366,3627,0.37840710647970693,3627
B1,S2,L,26,positive=source_leads_target,train,0.8121018433195257,3626,0.359852693884666,3626
B1,S2,L,27,positive=source_leads_target,train,0.8031906915508958,3625,0.34260848264233834,3625
B1,S2,L,28,positive=source_leads_target,train,0.794389371013764,3624,0.32884864726981455,3624
B1,S2,L,29,positive=source_leads_target,train,0.785514530939645,3623,0.31752067854745375,3623
B1,S2,L,30,positive=source_leads_target,train,0.776358706557747,3622,0.30645594483703026,3622
B1,P3,T,-30,positive=source_leads_target,train,0.7808369055947435,3622,0.0761422160228348,3622
B1,P3,T,-29,positive=source_leads_target,train,0.7895126499155811,3623,0.07331213394937192,3623
B1,P3,T,-28,positive=source_leads_target,train,0.7978604641600312,3624,0.06808104793203129,3624
B1,P3,T,-27,positive=source_leads_target,train,0.8060634513578456,3625,0.06637663909624868,3625
B1,P3,T,-26,positive=source_leads_target,train,0.8140284875770868,3626,0.06384266161012811,3626
B1,P3,T,-25,positive=source_leads_target,train,0.8217722166867903,3627,0.060158681087909956,3627
B1,P3,T,-24,positive=source_leads_target,train,0.8292632271355246,3628,0.057717364247459844,3628
B1,P3,T,-23,positive=source_leads_target,train,0.8365559078893111,3629,0.05564700198805242,3629
B1,P3,T,-22,positive=source_leads_target,train,0.8435870846388969,3630,0.05399902670998414,3630
B1,P3,T,-21,positive=source_leads_target,train,0.8504478343275231,3631,0.05381126774958279,3631
B1,P3,T,-20,positive=source_leads_target,train,0.857137458915166,3632,0.05370701016812322,3632
B1,P3,T,-19,positive=source_leads_target,train,0.8636780397565292,3633,0.05581262684706132,3633
B1,P3,T,-18,positive=source_leads_target,train,0.8701234456845709,3634,0.06011669232205388,3634
B1,P3,T,-17,positive=source_leads_target,train,0.8762919442458625,3635,0.06430617414345141,3635
B1,P3,T,-16,positive=source_leads_target,train,0.8823205572781135,3636,0.07025872460440281,3636
B1,P3,T,-15,positive=source_leads_target,train,0.8880693261810171,3637,0.07493318719809935,3637
B1,P3,T,-14,positive=source_leads_target,train,0.8935423781554217,3638,0.08120753654348599,3638
B1,P3,T,-13,positive=source_leads_target,train,0.8987087314108515,3639,0.08592330827337313,3639
B1,P3,T,-12,positive=source_leads_target,train,0.9035288494929117,3640,0.08939093374039307,3640
B1,P3,T,-11,positive=source_leads_target,train,0.9080032271506964,3641,0.09041871864721406,3641
B1,P3,T,-10,positive=source_leads_target,train,0.9122344742397318,3642,0.0929142549973059,3642
B1,P3,T,-9,positive=source_leads_target,train,0.9161767407687093,3643,0.09370504584666811,3643
B1,P3,T,-8,positive=source_leads_target,train,0.9200447721406285,3644,0.09851762450239844,3644
B1,P3,T,-7,positive=source_leads_target,train,0.9240140641157715,3645,0.11003613376809708,3645
B1,P3,T,-6,positive=source_leads_target,train,0.9280682814237204,3646,0.1297607511373476,3646
B1,P3,T,-5,positive=source_leads_target,train,0.9320961474416432,3647,0.15338027676829777,3647
B1,P3,T,-4,positive=source_leads_target,train,0.9361329590767058,3648,0.18294685272910927,3648
B1,P3,T,-3,positive=source_leads_target,train,0.9399993123432253,3649,0.2148303483868924,3649
B1,P3,T,-2,positive=source_leads_target,train,0.9435701427696112,3650,0.24508801507213374,3650
B1,P3,T,-1,positive=source_leads_target,train,0.946648677040565,3651,0.269357631595633,3651
B1,P3,T,0,positive=source_leads_target,train,0.9492132800146861,3652,0.2902100334156543,3652
B1,P3,T,1,positive=source_leads_target,train,0.9512277532865512,3651,0.3015929388634242,3651
B1,P3,T,2,positive=source_leads_target,train,0.9526557972057367,3650,0.3073041367068138,3650
B1,P3,T,3,positive=source_leads_target,train,0.9535770242714088,3649,0.31240812325457323,3649
B1,P3,T,4,positive=source_leads_target,train,0.9538665046777549,3648,0.30952483044633755,3648
B1,P3,T,5,positive=source_leads_target,train,0.9535472272218153,3647,0.2994988577216217,3647
B1,P3,T,6,positive=source_leads_target,train,0.9525970938634319,3646,0.2853994579798545,3646
B1,P3,T,7,positive=source_leads_target,train,0.9512051621724587,3645,0.26903982611864885,3645
B1,P3,T,8,positive=source_leads_target,train,0.9494793249497158,3644,0.2514357622284412,3644
B1,P3,T,9,positive=source_leads_target,train,0.9474090052184285,3643,0.2339885259055614,3643
B1,P3,T,10,positive=source_leads_target,train,0.9452133404101565,3642,0.21878980031728296,3642
B1,P3,T,11,positive=source_leads_target,train,0.9428591640340009,3641,0.20719390259757545,3641
B1,P3,T,12,positive=source_leads_target,train,0.94038318143877,3640,0.19704883312457316,3640
B1,P3,T,13,positive=source_leads_target,train,0.937616158395949,3639,0.18650643994535337,3639
B1,P3,T,14,positive=source_leads_target,train,0.9345982374249634,3638,0.17494878978356204,3638
B1,P3,T,15,positive=source_leads_target,train,0.9314034498144195,3637,0.1675023411767981,3637
B1,P3,T,16,positive=source_leads_target,train,0.9279608189949735,3636,0.1624895273152545,3636
