evaluation_split,experiment,station_id,target,model,gap_length,window,information_combination,primary_data_version,sensitivity_data_version,primary_MAE,sensitivity_MAE,MAE_difference,ci_lower,ci_upper,p_value,n_paired_anchors,n_years,hypothesis_family,training_seeds_collapsed_first,bootstrap_unit,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,status
development_test,M2,B1,L,kalman,180.0,368,full_information,published_v2,no_s2_suspect_v2,2.1154897967041513,2.1154897967041513,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,linear,10.0,368,full_information,published_v2,no_s2_suspect_v2,0.3113383345170496,0.3113383345170496,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,linear,30.0,368,full_information,published_v2,no_s2_suspect_v2,0.47600465179771306,0.47600465179771306,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,linear,90.0,368,full_information,published_v2,no_s2_suspect_v2,0.8469545215797698,0.8469545215797698,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,linear,180.0,368,full_information,published_v2,no_s2_suspect_v2,1.539380342168554,1.539380342168554,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,pchip,10.0,368,full_information,published_v2,no_s2_suspect_v2,0.30081304522369234,0.30081304522369234,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,pchip,30.0,368,full_information,published_v2,no_s2_suspect_v2,0.4704909797612323,0.4704909797612323,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,pchip,90.0,368,full_information,published_v2,no_s2_suspect_v2,0.8283275974595952,0.8283275974595952,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,pchip,180.0,368,full_information,published_v2,no_s2_suspect_v2,1.5093987695288482,1.5093987695288482,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,random_forest,10.0,368,full_information,published_v2,no_s2_suspect_v2,8.802820945454064,8.814973842864989,0.012152897410923008,0.006847915457686905,0.017597989197489037,0.0005698828390450217,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.00474958072893241,2842,2842,True,0.05,within_named_hypothesis_family,ok
