left_event_id,right_event_id,left_station_id,right_station_id,left_event_type,right_event_type,left_season,right_season,same_station,same_event_type,same_season,overlap_days,union_days,jaccard,overlap_class,experiment_family
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BEVENT-20200922-20200922-20200922-08D8F1A0CC32,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BEVENT-20200929-20200929-20200929-33228804FF81,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BEVENT-20201002-20201002-20201002-448CEB5A3C06,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BEVENT-20200920-20200908-20200922-B7EB31057A7B,B1,P3,flood,flood,SON,SON,False,True,True,1,29,0.034482758620689655,cross_station,M7b
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BEVENT-20201231-20200910-20201231-B129EDAE58BC,B1,P3,flood,high_temperature,SON,SON,False,False,True,15,113,0.13274336283185842,cross_station,M7b
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BEVENT-20200920-20200912-20200926-1AA924D66748,B1,S2,flood,flood,SON,SON,False,True,True,5,25,0.2,cross_station,M7b
M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,M7BEVENT-20201001-20201001-20201001-594D63DCA26E,B1,S2,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20180120-20180117-20180120-C8CBF74F1BA2,M7BEVENT-20180116-20180103-20180117-E3956BD1FB78,B1,P3,high_temperature,flood,DJF,DJF,False,False,True,1,18,0.05555555555555555,cross_station,M7b
M7BEVENT-20180120-20180117-20180120-C8CBF74F1BA2,M7BEVENT-20180210-20180110-20180210-632D0FB3AE0D,B1,P3,high_temperature,high_temperature,DJF,DJF,False,True,True,4,32,0.125,cross_station,M7b
M7BEVENT-20180120-20180117-20180120-C8CBF74F1BA2,M7BEVENT-20180121-20180119-20180121-51224F5B8C39,B1,S2,high_temperature,high_temperature,DJF,DJF,False,True,True,2,5,0.4,cross_station,M7b
M7BEVENT-20180120-20180117-20180120-C8CBF74F1BA2,M7BEVENT-20180119-20180119-20180119-C52925922475,B1,S2,high_temperature,rapid_warming,DJF,DJF,False,False,True,1,4,0.25,cross_station,M7b
M7BEVENT-20181207-20181205-20181207-517C6BFE9EB9,M7BEVENT-20181205-20181127-20181211-C94744FCDA9C,B1,P3,high_temperature,flood,DJF,DJF,False,False,True,3,15,0.2,cross_station,M7b
M7BEVENT-20181207-20181205-20181207-517C6BFE9EB9,M7BEVENT-20181222-20181207-20181221-75DD9F2D5473,B1,P3,high_temperature,flood,DJF,DJF,False,False,True,1,17,0.058823529411764705,cross_station,M7b
M7BEVENT-20181207-20181205-20181207-517C6BFE9EB9,M7BEVENT-20190103-20181126-20181210-673E7F469148,B1,S2,high_temperature,flood,DJF,DJF,False,False,True,3,15,0.2,cross_station,M7b
M7BEVENT-20191224-20191222-20191224-920899691218,M7BEVENT-20200104-20191223-20200106-DAE3D12D1B74,B1,P3,high_temperature,flood,DJF,DJF,False,False,True,2,16,0.125,cross_station,M7b
