endpoint,anchor,effect_scale,margin,panel_size,power,mean_panel_effect
d_ndcg_rand_b20,-0.6658870985915623,1.5,-0.9988306478873434,60,0.0,-1.0480886061311039
d_ndcg_rand_b20,-0.6658870985915623,1.5,-0.9988306478873434,80,0.0,-1.0481725199662615
d_ndcg_rand_b20,-0.6658870985915623,1.5,-0.9988306478873434,100,0.0,-1.0521489978989047
d_ndcg_rand_b20,-0.6658870985915623,1.5,-0.9988306478873434,120,0.0,-1.046344431788984
d_ndcg_rand_b20,-0.6658870985915623,1.5,-0.9988306478873434,140,0.0,-1.047801813334336
d_ndcg_rand_b20,-0.6658870985915623,1.5,-0.9988306478873434,160,0.0,-1.0415518776166874
d_ndcg_rand_b30,-1.3066229464145769,0.5,-0.6533114732072884,40,0.0,-0.6969625459398612
d_ndcg_rand_b30,-1.3066229464145769,0.5,-0.6533114732072884,60,0.0,-0.6981798580983211
d_ndcg_rand_b30,-1.3066229464145769,0.5,-0.6533114732072884,80,0.0,-0.6936489538026017
d_ndcg_rand_b30,-1.3066229464145769,0.5,-0.6533114732072884,100,0.0,-0.6915568659482706
d_ndcg_rand_b30,-1.3066229464145769,0.5,-0.6533114732072884,120,0.0,-0.6956279974524808
d_ndcg_rand_b30,-1.3066229464145769,0.5,-0.6533114732072884,140,0.0,-0.693705560284601
d_ndcg_rand_b30,-1.3066229464145769,0.5,-0.6533114732072884,160,0.0,-0.6955437454610851
d_ndcg_rand_b30,-1.3066229464145769,1.0,-1.3066229464145769,40,0.0,-1.3811120076347747
d_ndcg_rand_b30,-1.3066229464145769,1.0,-1.3066229464145769,60,0.0,-1.3937534456446232
d_ndcg_rand_b30,-1.3066229464145769,1.0,-1.3066229464145769,80,0.0,-1.3853780969416252
d_ndcg_rand_b30,-1.3066229464145769,1.0,-1.3066229464145769,100,0.0,-1.397596075146309
d_ndcg_rand_b30,-1.3066229464145769,1.0,-1.3066229464145769,120,0.0,-1.395006784256904
d_ndcg_rand_b30,-1.3066229464145769,1.0,-1.3066229464145769,140,0.0,-1.3916468175639793
d_ndcg_rand_b30,-1.3066229464145769,1.0,-1.3066229464145769,160,0.0,-1.3920131890798948
d_ndcg_rand_b30,-1.3066229464145769,1.5,-1.9599344196218653,40,0.0,-2.089896555578257
d_ndcg_rand_b30,-1.3066229464145769,1.5,-1.9599344196218653,60,0.0,-2.0941682607638605
d_ndcg_rand_b30,-1.3066229464145769,1.5,-1.9599344196218653,80,0.0,-2.0821938963768836
d_ndcg_rand_b30,-1.3066229464145769,1.5,-1.9599344196218653,100,0.0,-2.086888170971434
d_ndcg_rand_b30,-1.3066229464145769,1.5,-1.9599344196218653,120,0.0,-2.0795325055735128
d_ndcg_rand_b30,-1.3066229464145769,1.5,-1.9599344196218653,140,0.0,-2.0891057786997376
d_ndcg_rand_b30,-1.3066229464145769,1.5,-1.9599344196218653,160,0.0,-2.0883812001115585
d_rho_therm,0.008992177413230055,0.5,0.004496088706615027,40,0.308,0.03182251082251082
d_rho_therm,0.008992177413230055,0.5,0.004496088706615027,60,0.38,0.030866188811188813
d_rho_therm,0.008992177413230055,0.5,0.004496088706615027,80,0.428,0.03128768148518149
d_rho_therm,0.008992177413230055,0.5,0.004496088706615027,100,0.476,0.029745568764568762
d_rho_therm,0.008992177413230055,0.5,0.004496088706615027,120,0.508,0.030212938172938172
d_rho_therm,0.008992177413230055,0.5,0.004496088706615027,140,0.612,0.031039705056847913
d_rho_therm,0.008992177413230055,0.5,0.004496088706615027,160,0.632,0.02963295142357642
d_rho_therm,0.008992177413230055,1.0,0.008992177413230055,40,0.276,0.059390098235098235
d_rho_therm,0.008992177413230055,1.0,0.008992177413230055,60,0.38,0.06106459096459097
d_rho_therm,0.008992177413230055,1.0,0.008992177413230055,80,0.388,0.05798402680652681
d_rho_therm,0.008992177413230055,1.0,0.008992177413230055,100,0.464,0.060909674325674325
d_rho_therm,0.008992177413230055,1.0,0.008992177413230055,120,0.584,0.06374923243423244
d_rho_therm,0.008992177413230055,1.0,0.008992177413230055,140,0.636,0.06529163978878265
d_rho_therm,0.008992177413230055,1.0,0.008992177413230055,160,0.704,0.06503897935397936
d_rho_therm,0.008992177413230055,1.5,0.013488266119845082,40,0.296,0.10137360639360639
d_rho_therm,0.008992177413230055,1.5,0.013488266119845082,60,0.376,0.09603044289044288
d_rho_therm,0.008992177413230055,1.5,0.013488266119845082,80,0.424,0.08930136363636362
d_rho_therm,0.008992177413230055,1.5,0.013488266119845082,100,0.46,0.09492743256743257
d_rho_therm,0.008992177413230055,1.5,0.013488266119845082,120,0.58,0.09536855977355978
d_rho_therm,0.008992177413230055,1.5,0.013488266119845082,140,0.628,0.09410180319680318
d_rho_therm,0.008992177413230055,1.5,0.013488266119845082,160,0.608,0.09054625312187813
d_rho_net,0.5280010370754473,0.5,0.26400051853772366,40,0.62,0.3092592870544091
d_rho_net,0.5280010370754473,0.5,0.26400051853772366,60,0.688,0.3185066196548851
d_rho_net,0.5280010370754473,0.5,0.26400051853772366,80,0.664,0.3140867323019222
d_rho_net,0.5280010370754473,0.5,0.26400051853772366,100,0.752,0.32138757875787577
d_rho_net,0.5280010370754473,0.5,0.26400051853772366,120,0.788,0.3246740468088061
d_rho_net,0.5280010370754473,0.5,0.26400051853772366,140,0.752,0.3124636774787914
d_rho_net,0.5280010370754473,0.5,0.26400051853772366,160,0.84,0.3228489341454695
d_rho_net,0.5280010370754473,1.0,0.5280010370754473,40,0.064,0.32889015503110497
d_rho_net,0.5280010370754473,1.0,0.5280010370754473,60,0.032,0.31657614471452805
d_rho_net,0.5280010370754473,1.0,0.5280010370754473,80,0.016,0.32556482743697934
d_rho_net,0.5280010370754473,1.0,0.5280010370754473,100,0.016,0.3235123304983559
