site_id,name,river,water_body_type,latitude,longitude,source,historical_daily_public,note
2088,Sarnen,Sarnersee,lake,46.8877,8.2424,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2091,Rheinfelden,Rhein,river,47.5607,7.7999,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2093,Spiez,Thunersee,lake,46.6967,7.6646,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2097,Meisterschwanden,Hallwilersee,lake,47.2958,8.2203,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2099,Zürich Unterhard,Limmat,river,47.3906,8.5254,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2101,"Melide, Ferrera",Lago di Lugano,lake,45.9663,8.9489,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2102,Sarnen,Sarner Aa,river,46.8962,8.2452,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2104,"Weesen, Biäsche",Linth,river,47.1316,9.0884,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2105,St. Moritzbad,Inn,river,46.4847,9.8341,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2106,"Münchenstein, Hofmatt",Birs,river,47.5183,7.6188,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2109,Gsteig,Lütschine,river,46.6642,7.8715,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2110,"Mühlau, Hünenberg",Reuss,river,47.2223,8.3961,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2112,Appenzell,Sitter,river,47.332,9.4106,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2113,Klingnau,Aare,river,47.5941,8.2251,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
