date,t2m_deg_c
2015-02-24,1.5
2015-02-25,1.07
2015-02-26,1.36
2015-02-27,1.82
2015-02-28,1.02
2015-03-01,0.42
2015-03-02,2.7
2015-03-03,1.57
2015-03-04,1.01
2015-03-05,0.3
2015-03-06,1.08
2015-03-07,2.53
2015-03-08,3.14
2015-03-09,3.3
2015-03-10,4.18
2015-03-11,2.59
2015-03-12,1.55
2015-03-13,1.57
2015-03-14,1.62
2015-03-15,2.95
2015-03-16,5.91
2015-03-17,6.5
2015-03-18,4.32
2015-03-19,2.67
2015-03-20,3.71
2015-03-21,4.73
2015-03-22,0.95
2015-03-23,1.58
2015-03-24,4.84
2015-03-25,7.79
2015-03-26,7.88
2015-03-27,5.09
2015-03-28,4.49
2015-03-29,6.85
2015-03-30,5.45
2015-03-31,4.18
2015-04-01,2.05
2015-04-02,0.78
2015-04-03,1.52
2015-04-04,1.18
2015-04-05,0.95
2015-04-06,0.54
2015-04-07,3.29
2015-04-08,5.64
2015-04-09,6.73
2015-04-10,8.91
2015-04-11,10.81
2015-04-12,9.58
2015-04-13,7.03
2015-04-14,7.12
2015-04-15,12.39
2015-04-16,10.8
2015-04-17,6.78
2015-04-18,3.83
2015-04-19,6.42
2015-04-20,8.61
2015-04-21,9.42
2015-04-22,7.39
2015-04-23,10.2
2015-04-24,11.79
2015-04-25,12.57
2015-04-26,13.37
2015-04-27,14.14
2015-04-28,6.23
2015-04-29,6.51
2015-04-30,8.21
2015-05-01,8.38
2015-05-02,8.43
2015-05-03,10.5
2015-05-04,15.4
2015-05-05,18.02
2015-05-06,13.64
2015-05-07,11.1
2015-05-08,12.45
2015-05-09,13.44
2015-05-10,11.43
2015-05-11,11.04
2015-05-12,14.75
2015-05-13,12.83
2015-05-14,10.75
2015-05-15,11.07
2015-05-16,12.98
2015-05-17,10.94
2015-05-18,13.22
2015-05-19,14.37
2015-05-20,10.12
2015-05-21,10.39
2015-05-22,11.24
2015-05-23,13.3
2015-05-24,13.22
2015-05-25,14.52
2015-05-26,12.27
2015-05-27,9.6
2015-05-28,11.63
2015-05-29,14.43
2015-05-30,13.04
