date,t2m_deg_c
2015-01-31,-4.05
2015-02-01,-4.72
2015-02-02,-4.82
2015-02-03,-4.86
2015-02-04,-4.3
2015-02-05,-5.47
2015-02-06,-5.73
2015-02-07,-6.37
2015-02-08,-3.64
2015-02-09,-3.84
2015-02-10,0.13
2015-02-11,-1.2
2015-02-12,-1.19
2015-02-13,-2.38
2015-02-14,-1.71
2015-02-15,-0.26
2015-02-16,-1.61
2015-02-17,-3.16
2015-02-18,-2.89
2015-02-19,-2.0
2015-02-20,-1.81
2015-02-21,0.6
2015-02-22,1.96
2015-02-23,2.21
2015-02-24,2.02
2015-02-25,1.93
2015-02-26,1.35
2015-02-27,1.6
2015-02-28,1.89
2015-03-01,1.81
2015-03-02,2.16
2015-03-03,0.73
2015-03-04,0.47
2015-03-05,-0.1
2015-03-06,0.42
2015-03-07,2.36
2015-03-08,2.05
2015-03-09,1.86
2015-03-10,3.9
2015-03-11,1.1
2015-03-12,1.09
2015-03-13,1.16
2015-03-14,0.59
2015-03-15,3.12
2015-03-16,5.31
2015-03-17,5.62
2015-03-18,3.11
2015-03-19,1.9
2015-03-20,2.36
2015-03-21,4.09
2015-03-22,1.74
2015-03-23,1.3
2015-03-24,5.59
2015-03-25,8.39
2015-03-26,10.09
2015-03-27,6.28
2015-03-28,4.14
2015-03-29,5.52
2015-03-30,6.07
2015-03-31,3.8
2015-04-01,2.27
2015-04-02,0.89
2015-04-03,1.2
2015-04-04,1.25
2015-04-05,0.58
2015-04-06,0.16
2015-04-07,2.76
2015-04-08,5.56
2015-04-09,6.8
2015-04-10,8.27
2015-04-11,10.33
2015-04-12,10.94
2015-04-13,8.51
2015-04-14,6.41
2015-04-15,11.55
2015-04-16,13.32
2015-04-17,8.15
2015-04-18,3.12
2015-04-19,5.51
2015-04-20,7.77
2015-04-21,8.36
2015-04-22,8.94
2015-04-23,10.52
2015-04-24,12.45
2015-04-25,13.17
2015-04-26,13.19
2015-04-27,14.72
2015-04-28,11.42
2015-04-29,6.79
2015-04-30,8.01
2015-05-01,7.89
2015-05-02,9.61
2015-05-03,9.53
2015-05-04,13.94
2015-05-05,16.55
2015-05-06,14.74
2015-05-07,12.31
2015-05-08,12.98
2015-05-09,14.01
2015-05-10,12.36
2015-05-11,10.2
2015-05-12,12.76
2015-05-13,13.92
2015-05-14,11.47
2015-05-15,11.47
2015-05-16,13.78
2015-05-17,12.35
2015-05-18,13.84
2015-05-19,16.06
2015-05-20,13.83
2015-05-21,9.58
2015-05-22,11.86
2015-05-23,11.35
2015-05-24,10.83
2015-05-25,12.42
2015-05-26,12.04
2015-05-27,9.67
2015-05-28,10.31
