request_ordinal,target_station_id,direction,cache_path,status,response_sha256
221,02245340,DM,results/framework/public_catalog/nldi_cache/02245340_DM_200.json,missing,
222,022462002,UM,results/framework/public_catalog/nldi_cache/022462002_UM_200.json,missing,
223,022462002,DM,results/framework/public_catalog/nldi_cache/022462002_DM_200.json,missing,
224,02246459,UM,results/framework/public_catalog/nldi_cache/02246459_UM_200.json,missing,
225,02246459,DM,results/framework/public_catalog/nldi_cache/02246459_DM_200.json,missing,
226,02246500,UM,results/framework/public_catalog/nldi_cache/02246500_UM_200.json,missing,
227,02246500,DM,results/framework/public_catalog/nldi_cache/02246500_DM_200.json,missing,
228,02246518,UM,results/framework/public_catalog/nldi_cache/02246518_UM_200.json,complete,f2fb8856a1ae18d0714a85d77cfd79905b3b7728be886f407302116ce5f4ce8a
229,02246518,DM,results/framework/public_catalog/nldi_cache/02246518_DM_200.json,complete,52ddbc2a4e45dc93408f7865ee6d082f852c9f7a5711adc1715e02386bc1d381
230,02246751,UM,results/framework/public_catalog/nldi_cache/02246751_UM_200.json,missing,
231,02246751,DM,results/framework/public_catalog/nldi_cache/02246751_DM_200.json,missing,
232,02246804,UM,results/framework/public_catalog/nldi_cache/02246804_UM_200.json,missing,
233,02246804,DM,results/framework/public_catalog/nldi_cache/02246804_DM_200.json,missing,
234,02264000,UM,results/framework/public_catalog/nldi_cache/02264000_UM_200.json,missing,
235,02264000,DM,results/framework/public_catalog/nldi_cache/02264000_DM_200.json,missing,
236,02264100,UM,results/framework/public_catalog/nldi_cache/02264100_UM_200.json,missing,
237,02264100,DM,results/framework/public_catalog/nldi_cache/02264100_DM_200.json,missing,
238,02266200,UM,results/framework/public_catalog/nldi_cache/02266200_UM_200.json,missing,
239,02266200,DM,results/framework/public_catalog/nldi_cache/02266200_DM_200.json,missing,
240,02266300,UM,results/framework/public_catalog/nldi_cache/02266300_UM_200.json,complete,9605dadab2944ba5c6bd164682dd4896da95bed71d68317ed1378bbd8313928e
241,02266300,DM,results/framework/public_catalog/nldi_cache/02266300_DM_200.json,complete,eccf381581c85b19965d2b7774c5ec51fba2fdab437d3503c0942e56ac7ba291
242,02266495,UM,results/framework/public_catalog/nldi_cache/02266495_UM_200.json,missing,
243,02266495,DM,results/framework/public_catalog/nldi_cache/02266495_DM_200.json,missing,
244,02290928,UM,results/framework/public_catalog/nldi_cache/02290928_UM_200.json,missing,
245,02290928,DM,results/framework/public_catalog/nldi_cache/02290928_DM_200.json,missing,
246,02290930,UM,results/framework/public_catalog/nldi_cache/02290930_UM_200.json,missing,
247,02290930,DM,results/framework/public_catalog/nldi_cache/02290930_DM_200.json,missing,
248,02297345,UM,results/framework/public_catalog/nldi_cache/02297345_UM_200.json,missing,
249,02297345,DM,results/framework/public_catalog/nldi_cache/02297345_DM_200.json,missing,
250,02297350,UM,results/framework/public_catalog/nldi_cache/02297350_UM_200.json,complete,a90002636bd56c37d32e1ea4cb9120c0f952264eba99411506aaeea3ce116797
251,02297350,DM,results/framework/public_catalog/nldi_cache/02297350_DM_200.json,complete,21a3c66d05a38827a6dc959dbb1226fc95123bb7c0afec60efa96e229eea8d74
252,02297460,UM,results/framework/public_catalog/nldi_cache/02297460_UM_200.json,missing,
253,02297460,DM,results/framework/public_catalog/nldi_cache/02297460_DM_200.json,missing,
254,02298202,UM,results/framework/public_catalog/nldi_cache/02298202_UM_200.json,missing,
