station_id,donors,gap_length,average_boundary_distance_days,effective_acf_lag_days,seasonal_variance_fraction,anomaly_sd_degC,R2_donor,rho,donor_component,memory_component,R2_avail,predicted_skill,calibration,post_hoc_state_control
S2,"B1,P3",120,30.0,30.0,0.9885935722246432,0.46918028196664585,0.5762100608364376,-0.11031654836101802,0.5762100608364376,0.005157413731189903,0.5813674745676275,0.35298181985946286,bridge_2016_2017,True
S2,"B1,P3",150,37.5,37.5,0.9885935722246432,0.46918028196664585,0.5762100608364376,-0.21498664906211828,0.5762100608364376,0.01958725707631954,0.5957973179127571,0.36423063766233366,bridge_2016_2017,True
S2,"B1,P3",180,45.0,45.0,0.9885935722246432,0.46918028196664585,0.5762100608364376,-0.15755450343467373,0.5762100608364376,0.010519916309585195,0.5867299771460227,0.3571391885843582,bridge_2016_2017,True
S2,"B1,P3",240,60.0,60.0,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.23873148337809577,0.5762100608364376,0.024152941831427292,0.6003630026678648,0.3678315119114721,bridge_2016_2017,True
S2,"B1,P3",365,91.25,91.25,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.0030871031690558747,0.5762100608364376,4.038805410952582e-06,0.5762140996418486,0.3490115973704666,bridge_2016_2017,True
P3,"B1,S2",1,0.25,1.0,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.9420635424195222,0.013195444544315094,0.8757729757717476,0.8889684203160627,0.6667859851627826,bridge_2016_2017,True
P3,"B1,S2",3,0.75,1.0,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.9420635424195222,0.013195444544315094,0.8757729757717476,0.8889684203160627,0.6667859851627826,bridge_2016_2017,True
P3,"B1,S2",7,1.75,1.75,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.8983476940796337,0.013195444544315094,0.7963794785922771,0.8095749231365922,0.5636227814569053,bridge_2016_2017,True
P3,"B1,S2",10,2.5,2.5,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.8531396103931138,0.013195444544315094,0.7182429275257087,0.7314383720700238,0.48177068017143587,bridge_2016_2017,True
P3,"B1,S2",14,3.5,3.5,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.7965012069931636,0.013195444544315094,0.6260427957070277,0.6392382402513428,0.3993655356636141,bridge_2016_2017,True
P3,"B1,S2",21,5.25,5.25,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.6997117168321898,0.013195444544315094,0.4831360433832754,0.4963314879275905,0.29030392978937136,bridge_2016_2017,True
P3,"B1,S2",30,7.5,7.5,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.5792697824153242,0.013195444544315094,0.3311257034716915,0.3443211480160066,0.19026000964260548,bridge_2016_2017,True
P3,"B1,S2",45,11.25,11.25,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.3767903837349804,0.013195444544315094,0.1400976229064902,0.1532930674508053,0.07983320395202553,bridge_2016_2017,True
P3,"B1,S2",60,15.0,15.0,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.22548603498889092,0.013195444544315094,0.05017304342631126,0.06336848797062636,0.032202752623580966,bridge_2016_2017,True
P3,"B1,S2",90,22.5,22.5,0.9883097425462335,0.34622227399995315,0.013195444544315094,-0.003942528184834891,0.013195444544315094,1.533842472002825e-05,0.013210782969035122,0.006627352384330654,bridge_2016_2017,True
P3,"B1,S2",120,30.0,30.0,0.9883097425462335,0.34622227399995315,0.013195444544315094,-0.09591792191063024,0.013195444544315094,0.009078846384758418,0.02227429092907351,0.01119986394068162,bridge_2016_2017,True
P3,"B1,S2",150,37.5,37.5,0.9883097425462335,0.34622227399995315,0.013195444544315094,-0.16133856972546914,0.013195444544315094,0.025686654890312355,0.03888209943462745,0.019633792623709123,bridge_2016_2017,True
P3,"B1,S2",180,45.0,45.0,0.9883097425462335,0.34622227399995315,0.013195444544315094,-0.10829772703898485,0.013195444544315094,0.011573636260606467,0.02476908080492156,0.012462193536329269,bridge_2016_2017,True
P3,"B1,S2",240,60.0,60.0,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.08036777013595627,0.013195444544315094,0.006373749384324661,0.019569193928639754,0.009832940322007988,bridge_2016_2017,True
P3,"B1,S2",365,91.25,91.25,0.9883097425462335,0.34622227399995315,0.013195444544315094,0.1648988031448912,0.013195444544315094,0.02683280982713823,0.040028254371453326,0.020218521491375263,bridge_2016_2017,True
B1,"S2,P3",1,0.25,1.0,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.8927002739702035,0.48164785276505895,0.4130819685816876,0.8947298213467465,0.6755463382033522,state_matched_2016_2020,True
B1,"S2,P3",3,0.75,1.0,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.8927002739702035,0.48164785276505895,0.4130819685816876,0.8947298213467465,0.6755463382033522,state_matched_2016_2020,True
B1,"S2,P3",7,1.75,1.75,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.8015347082608122,0.48164785276505895,0.3330194260362319,0.8146672788012909,0.5694971298600796,state_matched_2016_2020,True
B1,"S2,P3",10,2.5,2.5,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.7125727573702538,0.48164785276505895,0.2631984523519201,0.744846305116979,0.49487259539496276,state_matched_2016_2020,True
B1,"S2,P3",14,3.5,3.5,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.5952751946163874,0.48164785276505895,0.18367940896790588,0.6653272617329649,0.421490935017406,state_matched_2016_2020,True
B1,"S2,P3",21,5.25,5.25,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.417811509293723,0.48164785276505895,0.09048689797576982,0.5721347507408288,0.3458859050141395,state_matched_2016_2020,True
B1,"S2,P3",30,7.5,7.5,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.24963997992842585,0.48164785276505895,0.03230376779953922,0.5139516205645982,0.3028282998891867,state_matched_2016_2020,True
B1,"S2,P3",45,11.25,11.25,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.08355051727134472,0.48164785276505895,0.003618455099315108,0.4852663078643741,0.28255056475342744,state_matched_2016_2020,True
B1,"S2,P3",60,15.0,15.0,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.029091954162487797,0.48164785276505895,0.0004387030877656327,0.48208655585282456,0.28033796532874167,state_matched_2016_2020,True
B1,"S2,P3",90,22.5,22.5,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.14081662298114578,0.48164785276505895,0.010278571278117037,0.491926424043176,0.28720719984218135,state_matched_2016_2020,True
B1,"S2,P3",120,30.0,30.0,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.06810918529597369,0.48164785276505895,0.002404563623148178,0.4840524163882071,0.2817050859070539,state_matched_2016_2020,True
B1,"S2,P3",150,37.5,37.5,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.005286320632745523,0.48164785276505895,1.4485447080995673e-05,0.48166233821213994,0.2800432917266066,state_matched_2016_2020,True
B1,"S2,P3",180,45.0,45.0,0.9754798470988475,0.8137107761890683,0.48164785276505895,-0.036510689643120646,0.48164785276505895,0.0006909792003459847,0.48233883196540495,0.2805132606957964,state_matched_2016_2020,True
B1,"S2,P3",240,60.0,60.0,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.14878626695696398,0.48164785276505895,0.011474944583454891,0.49312279734851383,0.28804690979567604,state_matched_2016_2020,True
B1,"S2,P3",365,91.25,91.25,0.9754798470988475,0.8137107761890683,0.48164785276505895,0.015398068295971385,0.48164785276505895,0.00012290155704218305,0.48177075432210115,0.2801185891565897,state_matched_2016_2020,True
