analysis,station_id,gap_length,best_model,mean_skill,skill_ci_lower,skill_ci_upper,mean_MAE_degC,mean_climatology_MAE_degC,n_anchors,n_anchor_year_units,R2_donor,rho,predicted_skill,calibration,best_exceeds_budget,best_lower_ci_exceeds_budget,prediction_error
bridge_2016_2017_climatology,B1,45.0,random_forest,0.3782416546621013,0.29242221823119086,0.4588722662333173,0.4841447741120503,0.8288333290682898,20,20,0.5794588934361571,0.10999318241124642,0.35544341605126406,bridge_2016_2017,True,False,0.02279823861083724
bridge_2016_2017_climatology,B1,60.0,random_forest,0.4032860669632801,0.3285781446524129,0.46304150828021867,0.4757818786242637,0.8194166640639307,20,20,0.5794588934361571,0.05429801235479854,0.3524652626366951,bridge_2016_2017,True,False,0.050820804326585034
bridge_2016_2017_climatology,B1,90.0,random_forest,0.3882386986849736,0.3318253267597853,0.43733907844472314,0.47939031669208265,0.7979999861849678,20,20,0.5794588934361571,0.02219622249057036,0.3516683583129433,bridge_2016_2017,True,False,0.03657034037203033
bridge_2016_2017_climatology,B1,120.0,random_forest,0.36826118500729377,0.32693929761417634,0.40185654008453786,0.49397819069185295,0.798249995201826,20,20,0.5794588934361571,-0.1289421536920576,0.3569221222092208,bridge_2016_2017,True,False,0.011339062798072952
bridge_2016_2017_climatology,B1,150.0,random_forest,0.3547166284089439,0.3313997033815929,0.3787786574802745,0.5046269403100052,0.8051166601101556,20,20,0.5794588934361571,-0.22007958560892765,0.36740835606713806,bridge_2016_2017,False,False,-0.012691727658194152
bridge_2016_2017_climatology,B1,180.0,random_forest,0.3553891229913601,0.32723014442087317,0.3829519171127571,0.5061928915687719,0.8029999978012509,20,20,0.5794588934361571,-0.17367954261613117,0.3613642202085007,bridge_2016_2017,False,False,-0.005975097217140568
bridge_2016_2017_climatology,B1,240.0,random_forest,0.35564683672231395,0.3302641769613816,0.3784758555637215,0.49734693939136393,0.7804479164232809,20,20,0.5794588934361571,0.22077143437444918,0.36750974553222626,bridge_2016_2017,False,False,-0.01186290880991231
bridge_2016_2017_climatology,B1,365.0,random_forest,0.3451366172340164,0.3345548635392758,0.35660545058736587,0.504916381297337,0.7753219175371405,20,20,0.5794588934361571,-0.022129173214155452,0.35166739442259054,bridge_2016_2017,False,False,-0.006530777188574144
bridge_2016_2017_climatology,P3,1.0,pchip,0.9478420656079805,0.9253785803583534,0.9677760900016855,0.05311899173306252,1.4750000667572025,20,20,0.013195444544315094,0.9420635424195222,0.6667859851627826,bridge_2016_2017,True,True,0.2810560804451978
bridge_2016_2017_climatology,P3,3.0,linear,0.837945085684024,0.7827189073407899,0.893646511210057,0.1366666316986084,1.4874999682108563,20,20,0.013195444544315094,0.9420635424195222,0.6667859851627826,bridge_2016_2017,True,True,0.1711591005212414
bridge_2016_2017_climatology,P3,7.0,kalman,0.7344085665825706,0.5191325040197575,0.8859059685823362,0.164117926640329,1.4510714013235912,20,20,0.013195444544315094,0.8983476940796337,0.5636227814569053,bridge_2016_2017,True,False,0.17078578512566533
bridge_2016_2017_climatology,P3,10.0,kalman,0.7066476778994341,0.504493485488065,0.8519242951746229,0.18901657413025336,1.4172500047683718,20,20,0.013195444544315094,0.8531396103931138,0.48177068017143587,bridge_2016_2017,True,True,0.22487699772799818
bridge_2016_2017_climatology,P3,14.0,pchip,0.7109746549513377,0.6033258958678167,0.8082428348074181,0.21952894364656594,1.3805357088361472,20,20,0.013195444544315094,0.7965012069931636,0.3993655356636141,bridge_2016_2017,True,True,0.3116091192877236
bridge_2016_2017_climatology,P3,21.0,kalman,0.6096265270629468,0.5124484302917036,0.6998373305344808,0.28416080761095885,1.342619067146665,20,20,0.013195444544315094,0.6997117168321898,0.29030392978937136,bridge_2016_2017,True,True,0.3193225972735755
bridge_2016_2017_climatology,P3,30.0,linear,0.47952160816801814,0.3264736065840549,0.6108538039535641,0.3684031938737439,1.280750026067098,20,20,0.013195444544315094,0.5792697824153242,0.19026000964260548,bridge_2016_2017,True,True,0.28926159852541267
bridge_2016_2017_climatology,P3,45.0,kalman,0.504295896586456,0.415588636572336,0.587289907020192,0.3862469367279244,1.2248889189826118,20,20,0.013195444544315094,0.3767903837349804,0.07983320395202553,bridge_2016_2017,True,True,0.4244626926344305
