network_id,station_id,gap_length,season_plurality,observed_recovery_loss,dur_season,simple,empirical,surface,support_status,horizon_group
chmi_dyje,0-203-1-430000,365.0,JJA,7.938042476220227,2.115829119426249,4.468604493094153,1.4953121802614178,2.8138057205840634,extrapolated,fallback
chmi_dyje,0-203-1-434000,7.0,DJF,0.2846118506042606,0.2857295721324808,-0.0213207954002112,0.2520881423190372,0.5024242724900739,direct,direct
chmi_dyje,0-203-1-434000,14.0,DJF,0.3075041391045032,0.4708851932070064,0.2300631079972874,1.4953121802614178,0.6552637065725295,interpolated,fallback
chmi_dyje,0-203-1-434000,30.0,DJF,0.3685006795855752,0.7053899662610769,0.6602583920456819,0.3378605981523093,0.7524913176563731,direct,direct
chmi_dyje,0-203-1-434000,60.0,MAM,0.4223606837743219,1.2202289127262784,1.3349243586077897,1.4953121802614178,0.9325044157351366,interpolated,fallback
chmi_dyje,0-203-1-434000,90.0,DJF,0.8681238265207044,1.1107252446243259,1.922790082826524,0.8645725917023354,1.2134198717559177,direct,direct
chmi_dyje,0-203-1-434000,180.0,DJF,1.876879838053742,1.414687020145989,3.2913575481615016,1.8422548196440487,1.9772285037474904,direct,direct
chmi_dyje,0-203-1-434000,365.0,JJA,2.9231558295801774,2.115829119426249,5.475876248223034,1.4953121802614178,2.439040690728982,extrapolated,fallback
chmi_dyje,0-203-1-437000,7.0,DJF,0.5908019141545371,0.2857295721324808,-0.0439866658521319,0.3480902949445795,0.6686126374393013,direct,direct
chmi_dyje,0-203-1-437000,14.0,DJF,0.7019358441615406,0.4708851932070064,0.3961313816443172,1.4953121802614178,0.8337109924613871,interpolated,fallback
chmi_dyje,0-203-1-437000,30.0,DJF,1.0501224389427508,0.7053899662610769,0.9115740723251784,0.5860476145272565,0.9238915495026658,direct,direct
chmi_dyje,0-203-1-437000,60.0,MAM,1.2725167485549629,1.2202289127262784,1.3982403277279165,1.4953121802614178,1.110713386389235,interpolated,fallback
chmi_dyje,0-203-1-437000,90.0,DJF,1.588673862597335,1.1107252446243259,1.7114806797586644,1.226128946598695,1.43075385901436,direct,direct
chmi_dyje,0-203-1-437000,180.0,DJF,3.5559384092256905,1.414687020145989,2.7165825387270948,3.030225495927126,2.401297613201653,direct,direct
chmi_dyje,0-203-1-437000,365.0,JJA,7.009307781930794,2.115829119426249,4.819593197232118,1.4953121802614178,2.6955589649477445,extrapolated,fallback
chmi_dyje,0-203-1-480500,7.0,DJF,0.4541243036194781,0.2857295721324808,0.37514839033844,0.4527865603836259,0.6586585240894189,direct,direct
chmi_dyje,0-203-1-480500,14.0,DJF,0.5552751575979176,0.4708851932070064,0.6559876476163042,1.4953121802614178,0.8234605149744978,interpolated,fallback
chmi_dyje,0-203-1-480500,30.0,DJF,0.8952532096707587,0.7053899662610769,1.0430200642456928,0.7547113912485091,0.9158721245449528,direct,direct
chmi_dyje,0-203-1-480500,60.0,MAM,1.1851320625835269,1.2202289127262784,1.419270993371386,1.4953121802614178,1.105870596768214,interpolated,fallback
chmi_dyje,0-203-1-480500,90.0,DJF,1.789549627140507,1.1107252446243259,1.6804425528394549,1.7788709979152926,1.432484103155214,direct,direct
chmi_dyje,0-203-1-480500,180.0,DJF,4.182153386393259,1.414687020145989,2.5289398826057887,4.289498927638756,2.423095116467316,direct,direct
chmi_dyje,0-203-1-480500,365.0,JJA,8.657460744557213,2.115829119426249,4.553368843985942,1.4953121802614178,2.6624190095061198,extrapolated,fallback
chmi_jizera,0-203-1-084500,7.0,DJF,0.6264484267989243,0.2857295721324808,0.5127354694738471,0.5672299560073061,0.4849209975998462,direct,direct
chmi_jizera,0-203-1-084500,14.0,DJF,0.6718109536887361,0.4708851932070064,0.6389671999058184,1.236141329215872,0.632579342222527,interpolated,fallback
