network_id,station_id,gap_length,prediction,observed,n_placements,sources,tier,all_placements_same_tier,panel,observed_recovery_loss,effective_support,distance_to_nearest_supported_cell
chmi_dyje,0-203-1-434000,180,1.8422548196440487,1.8768798380537421,20,station_gap_season,station_gap_season,True,second,1.876879838053742,20.0,0.0
chmi_dyje,0-203-1-434000,365,1.4953121802614178,2.9231558295801774,20,network_mean_fallback,network_mean_fallback,True,second,2.9231558295801774,1280.0,185.0
chmi_dyje,0-203-1-437000,7,0.3480902949445795,0.5908019141545371,20,station_gap_season,station_gap_season,True,second,0.5908019141545371,20.0,0.0
chmi_dyje,0-203-1-437000,14,1.4953121802614178,0.7019358441615406,20,network_mean_fallback,network_mean_fallback,True,second,0.7019358441615406,1280.0,7.0
chmi_dyje,0-203-1-437000,30,0.5860476145272565,1.0501224389427508,20,station_gap_season,station_gap_season,True,second,1.0501224389427508,20.0,0.0
chmi_dyje,0-203-1-437000,60,1.4953121802614178,1.2725167485549629,20,network_mean_fallback,network_mean_fallback,True,second,1.2725167485549629,1280.0,30.0
chmi_dyje,0-203-1-437000,90,1.2261289465986953,1.5886738625973347,20,station_gap_season,station_gap_season,True,second,1.588673862597335,20.0,0.0
chmi_dyje,0-203-1-437000,180,3.0302254959271266,3.5559384092256905,20,station_gap_season,station_gap_season,True,second,3.5559384092256905,20.0,0.0
chmi_dyje,0-203-1-437000,365,1.4953121802614178,7.009307781930794,20,network_mean_fallback,network_mean_fallback,True,second,7.009307781930794,1280.0,185.0
chmi_dyje,0-203-1-480500,7,0.45278656038362597,0.4541243036194781,20,station_gap_season,station_gap_season,True,second,0.4541243036194781,20.0,0.0
chmi_dyje,0-203-1-480500,14,1.4953121802614178,0.5552751575979176,20,network_mean_fallback,network_mean_fallback,True,second,0.5552751575979176,1280.0,7.0
chmi_dyje,0-203-1-480500,30,0.7547113912485091,0.8952532096707587,20,station_gap_season,station_gap_season,True,second,0.8952532096707587,20.0,0.0
chmi_dyje,0-203-1-480500,60,1.4953121802614178,1.1851320625835269,20,network_mean_fallback,network_mean_fallback,True,second,1.1851320625835269,1280.0,30.0
chmi_dyje,0-203-1-480500,90,1.7788709979152926,1.789549627140507,20,station_gap_season,station_gap_season,True,second,1.789549627140507,20.0,0.0
chmi_dyje,0-203-1-480500,180,4.289498927638756,4.182153386393259,20,station_gap_season,station_gap_season,True,second,4.182153386393259,20.0,0.0
chmi_dyje,0-203-1-480500,365,1.4953121802614178,8.657460744557213,20,network_mean_fallback,network_mean_fallback,True,second,8.657460744557213,1280.0,185.0
chmi_jizera,0-203-1-084500,7,0.5672299560073061,0.6264484267989243,20,station_gap_season,station_gap_season,True,second,0.6264484267989243,20.0,0.0
chmi_jizera,0-203-1-084500,14,1.236141329215872,0.6718109536887361,20,network_mean_fallback,network_mean_fallback,True,second,0.6718109536887361,1600.0,7.0
chmi_jizera,0-203-1-084500,30,0.7542465953458096,0.896229041021593,20,station_gap_season,station_gap_season,True,second,0.896229041021593,20.0,0.0
chmi_jizera,0-203-1-084500,60,1.236141329215872,0.9904273817017373,20,network_mean_fallback,network_mean_fallback,True,second,0.9904273817017372,1600.0,30.0
chmi_jizera,0-203-1-084500,90,1.0518979604157546,1.3052701252857717,20,station_gap_season,station_gap_season,True,second,1.3052701252857717,20.0,0.0
chmi_jizera,0-203-1-084500,180,2.176794391746099,2.455259462882618,20,station_gap_season,station_gap_season,True,second,2.455259462882618,20.0,0.0
chmi_jizera,0-203-1-084500,365,1.236141329215872,4.589994617099849,20,network_mean_fallback,network_mean_fallback,True,second,4.589994617099849,1600.0,185.0
chmi_jizera,0-203-1-091000,7,0.5285352902414833,0.4084014941397167,20,station_gap_season,station_gap_season,True,second,0.4084014941397167,20.0,0.0
chmi_jizera,0-203-1-091000,14,1.236141329215872,0.5925750506121343,20,network_mean_fallback,network_mean_fallback,True,second,0.5925750506121343,1600.0,7.0
chmi_jizera,0-203-1-091000,30,0.7916459751007001,0.813689578109471,20,station_gap_season,station_gap_season,True,second,0.813689578109471,20.0,0.0
chmi_jizera,0-203-1-091000,60,1.236141329215872,0.8932688980476016,20,network_mean_fallback,network_mean_fallback,True,second,0.8932688980476016,1600.0,30.0
chmi_jizera,0-203-1-091000,90,1.112823255645454,1.1927716266168569,20,station_gap_season,station_gap_season,True,second,1.1927716266168569,20.0,0.0
chmi_jizera,0-203-1-091000,180,2.27456989197679,2.4677972876435654,20,station_gap_season,station_gap_season,True,second,2.467797287643565,20.0,0.0
chmi_jizera,0-203-1-091000,365,1.236141329215872,4.708852323651747,20,network_mean_fallback,network_mean_fallback,True,second,4.708852323651747,1600.0,185.0
chmi_jizera,0-203-1-098000,7,0.536455358257206,0.5827951060699703,20,station_gap_season,station_gap_season,True,second,0.5827951060699703,20.0,0.0
chmi_jizera,0-203-1-098000,14,1.236141329215872,0.7575401322061708,20,network_mean_fallback,network_mean_fallback,True,second,0.7575401322061708,1600.0,7.0
chmi_jizera,0-203-1-098000,30,0.8054383568715417,0.8801447502539249,20,station_gap_season,station_gap_season,True,second,0.8801447502539249,20.0,0.0
chmi_jizera,0-203-1-098000,60,1.236141329215872,0.88973701187772,20,network_mean_fallback,network_mean_fallback,True,second,0.88973701187772,1600.0,30.0
chmi_jizera,0-203-1-098000,90,1.174155651866395,1.2075973422786905,20,station_gap_season,station_gap_season,True,second,1.2075973422786903,20.0,0.0
chmi_jizera,0-203-1-098000,180,2.518868606766716,2.28833778090354,20,station_gap_season,station_gap_season,True,second,2.28833778090354,20.0,0.0
chmi_jizera,0-203-1-098000,365,1.236141329215872,4.276711372848423,20,network_mean_fallback,network_mean_fallback,True,second,4.276711372848423,1600.0,185.0
chmi_jizera,0-203-1-099900,7,0.351519143289705,0.3684186183649396,20,station_gap_season,station_gap_season,True,second,0.3684186183649396,20.0,0.0
chmi_jizera,0-203-1-099900,14,1.236141329215872,0.62925803208774,20,network_mean_fallback,network_mean_fallback,True,second,0.62925803208774,1600.0,7.0
chmi_jizera,0-203-1-099900,30,0.703229194384863,0.9960698470779011,20,station_gap_season,station_gap_season,True,second,0.9960698470779012,20.0,0.0
chmi_jizera,0-203-1-099900,60,1.236141329215872,1.0751268845817048,20,network_mean_fallback,network_mean_fallback,True,second,1.0751268845817048,1600.0,30.0
chmi_jizera,0-203-1-099900,90,1.1742795058022675,1.3514328482991422,20,station_gap_season,station_gap_season,True,second,1.3514328482991422,20.0,0.0
chmi_jizera,0-203-1-099900,180,2.675555026077503,3.0521231787402248,20,station_gap_season,station_gap_season,True,second,3.0521231787402248,20.0,0.0
chmi_jizera,0-203-1-099900,365,1.236141329215872,5.73544287847251,20,network_mean_fallback,network_mean_fallback,True,second,5.73544287847251,1600.0,185.0
chmi_jizera,0-203-1-101800,7,0.4196540780165199,0.4967206897622865,20,station_gap_season,station_gap_season,True,second,0.4967206897622865,20.0,0.0
chmi_jizera,0-203-1-101800,14,1.236141329215872,0.6839845668716126,20,network_mean_fallback,network_mean_fallback,True,second,0.6839845668716126,1600.0,7.0
chmi_jizera,0-203-1-101800,30,0.7863392621164087,1.0833375179076674,20,station_gap_season,station_gap_season,True,second,1.0833375179076674,20.0,0.0
chmi_jizera,0-203-1-101800,60,1.236141329215872,1.14503413983231,20,network_mean_fallback,network_mean_fallback,True,second,1.14503413983231,1600.0,30.0
chmi_jizera,0-203-1-101800,90,1.3019262449233375,1.4097530531681688,20,station_gap_season,station_gap_season,True,second,1.4097530531681688,20.0,0.0
chmi_jizera,0-203-1-101800,180,2.991667327093136,3.2279098554205325,20,station_gap_season,station_gap_season,True,second,3.2279098554205325,20.0,0.0
chmi_jizera,0-203-1-101800,365,1.236141329215872,6.275088925759103,20,network_mean_fallback,network_mean_fallback,True,second,6.275088925759103,1600.0,185.0
chmi_kamenice,0-203-1-087930,7,0.5146387375443356,0.5827830074489132,20,station_gap_season,station_gap_season,True,second,0.5827830074489132,20.0,0.0
chmi_kamenice,0-203-1-087930,14,1.0833160089803826,0.7246275637908434,20,network_mean_fallback,network_mean_fallback,True,second,0.7246275637908434,960.0,7.0
chmi_kamenice,0-203-1-087930,30,0.8388397666402316,0.9405687586257587,20,station_gap_season,station_gap_season,True,second,0.9405687586257588,20.0,0.0
chmi_kamenice,0-203-1-087930,60,1.0833160089803826,0.980309911903275,20,network_mean_fallback,network_mean_fallback,True,second,0.980309911903275,960.0,30.0
chmi_kamenice,0-203-1-087930,90,1.1520643098484782,1.3342955005689774,20,station_gap_season,station_gap_season,True,second,1.3342955005689774,20.0,0.0
chmi_kamenice,0-203-1-087930,180,2.377629757604433,2.346437861992218,20,station_gap_season,station_gap_season,True,second,2.346437861992218,20.0,0.0
chmi_kamenice,0-203-1-087930,365,1.0833160089803826,4.214519906966385,20,network_mean_fallback,network_mean_fallback,True,second,4.214519906966385,960.0,185.0
chmi_kamenice,0-203-1-088000,7,0.15161466501008788,0.18986340632514345,20,station_gap_season,station_gap_season,True,second,0.1898634063251434,20.0,0.0
chmi_kamenice,0-203-1-088000,14,1.0833160089803826,0.24566151907054037,20,network_mean_fallback,network_mean_fallback,True,second,0.2456615190705404,960.0,7.0
chmi_kamenice,0-203-1-088000,30,0.2800496365648218,0.3422936681386238,20,station_gap_season,station_gap_season,True,second,0.3422936681386238,20.0,0.0
chmi_kamenice,0-203-1-088000,60,1.0833160089803826,0.4083631932193722,20,network_mean_fallback,network_mean_fallback,True,second,0.4083631932193722,960.0,30.0
chmi_kamenice,0-203-1-088000,90,0.5507775028005673,0.590434063389712,20,station_gap_season,station_gap_season,True,second,0.590434063389712,20.0,0.0
chmi_kamenice,0-203-1-088000,180,1.3278231572362067,1.432920436498132,20,station_gap_season,station_gap_season,True,second,1.432920436498132,20.0,0.0
chmi_kamenice,0-203-1-088000,365,1.0833160089803826,2.660276224801906,20,network_mean_fallback,network_mean_fallback,True,second,2.660276224801906,960.0,185.0
chmi_kamenice,0-203-1-090000,7,0.6528367588757563,0.5467682846198005,20,station_gap_season,station_gap_season,True,second,0.5467682846198005,20.0,0.0
chmi_kamenice,0-203-1-090000,14,1.0833160089803826,0.7249683681947185,20,network_mean_fallback,network_mean_fallback,True,second,0.7249683681947185,960.0,7.0
chmi_kamenice,0-203-1-090000,30,1.0188211959765543,0.963672201150151,20,station_gap_season,station_gap_season,True,second,0.9636722011501508,20.0,0.0
chmi_kamenice,0-203-1-090000,60,1.0833160089803826,0.9952851855349734,20,network_mean_fallback,network_mean_fallback,True,second,0.9952851855349732,960.0,30.0
chmi_kamenice,0-203-1-090000,90,1.355387515804567,1.3622687012473347,20,station_gap_season,station_gap_season,True,second,1.362268701247335,20.0,0.0
chmi_kamenice,0-203-1-090000,180,2.789039025893734,2.7291854041296277,20,station_gap_season,station_gap_season,True,second,2.729185404129628,20.0,0.0
